Variable,Estimate,Std..Error,t.value,Pr...t..,Significance,From,To
ArizonatoDistrict of Columbia,1.226201625,0.679498254,1.804569207,0.071143354,,Arizona,District of Columbia
ArizonatoFlorida,0.860310344,0.112478894,7.648638012,2.04E-14,*,Arizona,Florida
ArizonatoGeorgia,0.839851577,0.138730815,6.053821397,1.42E-09,*,Arizona,Georgia
ArizonatoIdaho,0.357770809,0.145523984,2.458500657,0.013952542,*,Arizona,Idaho
ArizonatoIllinois,0.36393667,0.115453795,3.152227863,0.001620494,*,Arizona,Illinois
ArizonatoIndiana,0.688186188,0.155393952,4.428654911,9.49E-06,*,Arizona,Indiana
ArizonatoIowa,0.332674098,0.136813281,2.431592137,0.01503334,*,Arizona,Iowa
ArizonatoKansas,0.225217568,0.156576419,1.438387523,0.150325415,,Arizona,Kansas
ArizonatoKentucky,0.418641816,0.186793751,2.241198185,0.025014137,*,Arizona,Kentucky
ArizonatoLouisiana,-0.118940266,0.219073502,-0.542924018,0.587182615,,Arizona,Louisiana
ArizonatoMaine,0.408759341,0.231442206,1.766140014,0.077373613,,Arizona,Maine
ArizonatoMaryland,1.014934062,0.208719412,4.862672113,1.16E-06,*,Arizona,Maryland
ArizonatoMassachusetts,0.604331477,0.231447899,2.611090792,0.009025945,*,Arizona,Massachusetts
ArizonatoMichigan,0.441029521,0.112444998,3.92217999,8.78E-05,*,Arizona,Michigan
ArizonatoMinnesota,0.163618476,0.118759892,1.377725031,0.168289465,,Arizona,Minnesota
ArizonatoMississippi,0.617701614,0.257239739,2.401268231,0.016339099,*,Arizona,Mississippi
ArizonatoMissouri,0.445915994,0.140542902,3.172810489,0.001509898,*,Arizona,Missouri
ArizonatoMontana,0.190340259,0.165426774,1.150601285,0.249897433,,Arizona,Montana
ArizonatoNebraska,0.242006473,0.172321678,1.404387861,0.160204658,,Arizona,Nebraska
ArizonatoNevada,0.429953263,0.193885805,2.217559266,0.026585816,*,Arizona,Nevada
ArizonatoNew Hampshire,1.22604831,0.257356209,4.764012935,1.90E-06,*,Arizona,New Hampshire
ArizonatoNew Jersey,0.379564522,0.223078372,1.701485084,0.088853212,,Arizona,New Jersey
ArizonatoNew Mexico,-0.127818599,0.122692013,-1.04178419,0.297512779,,Arizona,New Mexico
ArizonatoNew York,0.513670327,0.125979359,4.077416571,4.56E-05,*,Arizona,New York
ArizonatoNorth Carolina,0.987131324,0.137846307,7.161100997,8.03E-13,*,Arizona,North Carolina
ArizonatoNorth Dakota,0.378286895,0.194058997,1.949339634,0.051256024,,Arizona,North Dakota
ArizonatoOhio,0.536902589,0.151612517,3.541281414,0.000398263,*,Arizona,Ohio
ArizonatoOklahoma,0.081687961,0.134069347,0.609296327,0.542328609,,Arizona,Oklahoma
ArizonatoOregon,0.716841845,0.133221586,5.380823535,7.42E-08,*,Arizona,Oregon
ArizonatoPennsylvania,0.501909096,0.136988688,3.663872557,0.000248483,*,Arizona,Pennsylvania
ArizonatoRhode Island,0.644065437,0.480662632,1.339953211,0.180261806,,Arizona,Rhode Island
ArizonatoSouth Carolina,1.14647109,0.1996193,5.743287786,9.30E-09,*,Arizona,South Carolina
ArizonatoSouth Dakota,0.290758139,0.231286266,1.257135342,0.208705836,,Arizona,South Dakota
ArizonatoTennessee,0.495849932,0.159533231,3.108129448,0.001882972,*,Arizona,Tennessee
ArizonatoTexas,0.339622366,0.081620968,4.160969611,3.17E-05,*,Arizona,Texas
ArizonatoUtah,0.227045194,0.13385969,1.696143128,0.089860055,,Arizona,Utah
ArizonatoVermont,0.204501996,0.355198346,0.575740283,0.564791274,,Arizona,Vermont
ArizonatoVirginia,0.81265631,0.136959862,5.933536295,2.97E-09,*,Arizona,Virginia
ArizonatoWashington,0.657008351,0.116375457,5.645592,1.65E-08,*,Arizona,Washington
ArizonatoWest Virginia,0.697059978,0.392572761,1.77561983,0.075796847,,Arizona,West Virginia
ArizonatoWisconsin,0.124145207,0.127954175,0.970231777,0.331931937,,Arizona,Wisconsin
ArizonatoWyoming,0.103185428,0.202273187,0.510129045,0.60996152,,Arizona,Wyoming
ArkansastoAlabama,0.021441397,0.218862952,0.097967228,0.921958397,,Arkansas,Alabama
ArkansastoArizona,0.612055062,0.26356822,2.322188397,0.020223613,*,Arkansas,Arizona
ArkansastoArkansas,-0.116065264,0.030622418,-3.790205765,0.000150559,*,Arkansas,Arkansas
ArkansastoCalifornia,0.545008456,0.139680664,3.901817473,9.55E-05,*,Arkansas,California
ArkansastoColorado,0.371073181,0.18895125,1.963856715,0.049547846,*,Arkansas,Colorado
ArkansastoConnecticut,0.718189967,0.526399554,1.364343798,0.172460647,,Arkansas,Connecticut
ArkansastoDistrict of Columbia,-0.627953206,0.832064087,-0.754693317,0.450433746,,Arkansas,District of Columbia
ArkansastoFlorida,0.33967106,0.130735139,2.59816192,0.009372992,*,Arkansas,Florida
ArkansastoGeorgia,0.462058794,0.165313237,2.795050183,0.005189571,*,Arkansas,Georgia
ArkansastoIdaho,1.545140163,0.355101276,4.351266152,1.35E-05,*,Arkansas,Idaho
ArkansastoIllinois,-0.216234606,0.147650631,-1.464501733,0.1430582,,Arkansas,Illinois
ArkansastoIndiana,0.028239471,0.179923496,0.15695266,0.875282287,,Arkansas,Indiana
ArkansastoIowa,-0.135226849,0.235671355,-0.573794168,0.566107625,,Arkansas,Iowa
ArkansastoKansas,-0.082115525,0.159138751,-0.515999555,0.605855188,,Arkansas,Kansas
ArkansastoKentucky,0.029429874,0.22273912,0.132127103,0.894883868,,Arkansas,Kentucky
ArkansastoLouisiana,-0.500118023,0.126741874,-3.945957302,7.95E-05,*,Arkansas,Louisiana
ArkansastoMaine,0.782940303,0.832087211,0.940935389,0.346738903,,Arkansas,Maine
ArkansastoMaryland,0.278808198,0.263510793,1.058052291,0.290032652,,Arkansas,Maryland
ArkansastoMassachusetts,-0.167467036,0.416281601,-0.402292668,0.687469003,,Arkansas,Massachusetts
ArkansastoMichigan,0.150628981,0.186568241,0.80736668,0.419456045,,Arkansas,Michigan
ArkansastoMinnesota,-0.346694576,0.231151897,-1.499856073,0.133652984,,Arkansas,Minnesota
ArkansastoMississippi,-0.025543262,0.135522592,-0.188479736,0.850500756,,Arkansas,Mississippi
ArkansastoMissouri,-0.398289938,0.082700767,-4.816036813,1.47E-06,*,Arkansas,Missouri
ArkansastoMontana,0.52503594,0.392487535,1.337713667,0.180991042,,Arkansas,Montana
ArkansastoNebraska,0.17289869,0.27024038,0.639795912,0.522305892,,Arkansas,Nebraska
ArkansastoNevada,0.514272967,0.39253372,1.310137044,0.190150713,,Arkansas,Nevada
ArkansastoNew Hampshire,0.670151776,0.480578063,1.394470178,0.16317694,,Arkansas,New Hampshire
ArkansastoNew Jersey,-0.376774929,0.526387653,-0.715774632,0.474131205,,Arkansas,New Jersey
ArkansastoNew Mexico,0.343043562,0.339946145,1.009111496,0.312922167,,Arkansas,New Mexico
ArkansastoNew York,0.685039073,0.245814891,2.786808686,0.005323401,*,Arkansas,New York
ArkansastoNorth Carolina,0.304000295,0.165382252,1.838167591,0.06603893,,Arkansas,North Carolina
ArkansastoNorth Dakota,1.824349968,0.480559978,3.796300259,0.000146907,*,Arkansas,North Dakota
ArkansastoOhio,0.032499718,0.215269789,0.150972034,0.879997901,,Arkansas,Ohio
ArkansastoOklahoma,-0.454848216,0.079573378,-5.716085265,1.09E-08,*,Arkansas,Oklahoma
ArkansastoOregon,0.954833144,0.277817316,3.436910124,0.000588489,*,Arkansas,Oregon
ArkansastoPennsylvania,0.286998314,0.211843261,1.35476726,0.175492976,,Arkansas,Pennsylvania
ArkansastoRhode Island,0.833197121,0.832076969,1.001346212,0.316660453,,Arkansas,Rhode Island
ArkansastoSouth Carolina,0.322964441,0.235734441,1.370035027,0.17067723,,Arkansas,South Carolina
ArkansastoSouth Dakota,-0.015701043,0.526340358,-0.029830589,0.976202187,,Arkansas,South Dakota
ArkansastoTennessee,-0.247256381,0.116057331,-2.130467579,0.033134028,*,Arkansas,Tennessee
ArkansastoTexas,-0.041770496,0.070639933,-0.591315627,0.554309509,,Arkansas,Texas
ArkansastoUtah,0.698759196,0.263545756,2.651377148,0.008016945,*,Arkansas,Utah
ArkansastoVermont,0.650420453,0.67944888,0.95727651,0.338428658,,Arkansas,Vermont
ArkansastoVirginia,0.655664413,0.208509288,3.144533365,0.001663719,*,Arkansas,Virginia
ArkansastoWashington,0.990563306,0.251415332,3.939947881,8.15E-05,*,Arkansas,Washington
ArkansastoWest Virginia,0.963496796,0.416212396,2.314916149,0.020618348,*,Arkansas,West Virginia
ArkansastoWisconsin,-0.145995994,0.18424902,-0.7923841,0.428137519,,Arkansas,Wisconsin
ArkansastoWyoming,0.395958205,0.326650967,1.212175214,0.225446492,,Arkansas,Wyoming
CaliforniatoAlabama,0.425942003,0.107072949,3.978054274,6.95E-05,*,California,Alabama
CaliforniatoArizona,0.493453778,0.072843869,6.774129137,1.25E-11,*,California,Arizona
CaliforniatoArkansas,0.701455105,0.101183508,6.932504298,4.14E-12,*,California,Arkansas
CaliforniatoCalifornia,0.380993138,0.027987395,13.61302594,3.47E-42,*,California,California
CaliforniatoColorado,0.607199243,0.067813556,8.953950763,3.45E-19,*,California,Colorado
CaliforniatoConnecticut,0.80851717,0.140875034,5.739250926,9.52E-09,*,California,Connecticut
CaliforniatoDelaware,-0.076347338,0.257392921,-0.296617864,0.766758523,,California,Delaware
CaliforniatoDistrict of Columbia,1.140136788,0.236018958,4.830700041,1.36E-06,*,California,District of Columbia
CaliforniatoFlorida,0.956392618,0.061356735,15.58741067,9.42E-55,*,California,Florida
CaliforniatoGeorgia,0.877370098,0.074006362,11.85533347,2.06E-32,*,California,Georgia
CaliforniatoIdaho,0.463819402,0.072594921,6.389143995,1.67E-10,*,California,Idaho
CaliforniatoIllinois,0.468890497,0.077577508,6.044155161,1.50E-09,*,California,Illinois
CaliforniatoIndiana,0.758960895,0.088478092,8.577952773,9.71E-18,*,California,Indiana
CaliforniatoIowa,0.280546354,0.089540919,3.133163669,0.001729535,*,California,Iowa
CaliforniatoKansas,0.442738177,0.096515536,4.587221854,4.49E-06,*,California,Kansas
CaliforniatoKentucky,0.761932139,0.10202022,7.468442415,8.14E-14,*,California,Kentucky
CaliforniatoLouisiana,0.389578179,0.104963293,3.711565908,0.000206027,*,California,Louisiana
CaliforniatoMaine,0.54952349,0.147118441,3.735245459,0.000187575,*,California,Maine
CaliforniatoMaryland,0.88363646,0.105187574,8.400578407,4.47E-17,*,California,Maryland
CaliforniatoMassachusetts,1.187521938,0.104486944,11.36526625,6.34E-30,*,California,Massachusetts
CaliforniatoMichigan,0.407631139,0.074396513,5.479169938,4.28E-08,*,California,Michigan
CaliforniatoMinnesota,0.157500683,0.087218517,1.805817018,0.070948159,,California,Minnesota
CaliforniatoMississippi,0.85655703,0.124520079,6.878866749,6.05E-12,*,California,Mississippi
CaliforniatoMissouri,0.56044485,0.075426615,7.430332811,1.09E-13,*,California,Missouri
CaliforniatoMontana,0.079593886,0.088955355,0.894762166,0.370915123,,California,Montana
CaliforniatoNebraska,0.302070113,0.121812618,2.479793291,0.013146527,*,California,Nebraska
CaliforniatoNevada,0.058316839,0.077806491,0.749511228,0.453549857,,California,Nevada
CaliforniatoNew Hampshire,0.995508654,0.176358739,5.644793462,1.66E-08,*,California,New Hampshire
CaliforniatoNew Jersey,0.792583572,0.096323563,8.228345679,1.91E-16,*,California,New Jersey
CaliforniatoNew Mexico,0.096618042,0.103884756,0.930050241,0.352345993,,California,New Mexico
CaliforniatoNew York,0.679904622,0.065453611,10.38757996,2.86E-25,*,California,New York
CaliforniatoNorth Carolina,1.012200888,0.06868629,14.73657826,3.94E-49,*,California,North Carolina
CaliforniatoNorth Dakota,0.292332621,0.137753131,2.122148656,0.033826262,*,California,North Dakota
CaliforniatoOhio,0.601353941,0.076224164,7.889282247,3.05E-15,*,California,Ohio
CaliforniatoOklahoma,0.395963396,0.072523132,5.459822023,4.77E-08,*,California,Oklahoma
CaliforniatoOregon,0.347928751,0.052911031,6.575731887,4.85E-11,*,California,Oregon
CaliforniatoPennsylvania,0.563657523,0.072867587,7.735366979,1.03E-14,*,California,Pennsylvania
CaliforniatoRhode Island,1.000911664,0.199735915,5.011175212,5.41E-07,*,California,Rhode Island
CaliforniatoSouth Carolina,0.88789822,0.095876609,9.260842973,2.04E-20,*,California,South Carolina
CaliforniatoSouth Dakota,0.72700956,0.151537754,4.797547425,1.61E-06,*,California,South Dakota
CaliforniatoTennessee,0.936127412,0.083020082,11.27591535,1.76E-29,*,California,Tennessee
CaliforniatoTexas,0.742423714,0.047301605,15.69552885,1.73E-55,*,California,Texas
CaliforniatoUtah,0.179580796,0.081104541,2.214189178,0.02681669,*,California,Utah
CaliforniatoVermont,0.696482967,0.162663464,4.281741894,1.86E-05,*,California,Vermont
CaliforniatoVirginia,1.347724664,0.072604669,18.5625068,7.30E-77,*,California,Virginia
CaliforniatoWashington,0.28083438,0.052999097,5.298852179,1.17E-07,*,California,Washington
CaliforniatoWest Virginia,0.776169891,0.194260082,3.995519225,6.46E-05,*,California,West Virginia
CaliforniatoWisconsin,0.047047156,0.080291119,0.585957155,0.55790485,,California,Wisconsin
CaliforniatoWyoming,-0.096565956,0.115275384,-0.837697969,0.402201176,,California,Wyoming
ColoradotoAlabama,0.535380769,0.165479611,3.235327696,0.001215194,*,Colorado,Alabama
ColoradotoArizona,0.245179901,0.099347879,2.467892663,0.013591788,*,Colorado,Arizona
ColoradotoArkansas,0.628096727,0.138448532,4.536680302,5.72E-06,*,Colorado,Arkansas
ColoradotoCalifornia,0.389869265,0.072459361,5.38052312,7.43E-08,*,Colorado,California
ColoradotoColorado,0.237141507,0.035827634,6.618955319,3.62E-11,*,Colorado,Colorado
ColoradotoConnecticut,0.605206268,0.235930923,2.56518417,0.010312698,*,Colorado,Connecticut
ColoradotoDelaware,-0.078883573,0.294602357,-0.267762871,0.788882078,,Colorado,Delaware
ColoradotoDistrict of Columbia,1.104670523,0.392536087,2.814188449,0.004890447,*,Colorado,District of Columbia
ColoradotoFlorida,0.95797055,0.078808733,12.15563946,5.48E-34,*,Colorado,Florida
ColoradotoGeorgia,0.545592076,0.117009319,4.662808738,3.12E-06,*,Colorado,Georgia
ColoradotoIdaho,0.275301358,0.13310179,2.068352034,0.038607984,*,Colorado,Idaho
ColoradotoIllinois,0.144983069,0.117473681,1.234174904,0.217138927,,Colorado,Illinois
ColoradotoIndiana,0.324621453,0.137633617,2.358591313,0.018345231,*,Colorado,Indiana
ColoradotoIowa,0.265383135,0.096492642,2.750294003,0.005954621,*,Colorado,Iowa
ColoradotoKansas,-0.01934034,0.080055914,-0.241585404,0.809101637,,Colorado,Kansas
ColoradotoKentucky,0.80105901,0.170523985,4.697632476,2.63E-06,*,Colorado,Kentucky
ColoradotoLouisiana,0.586390297,0.163835752,3.579135133,0.0003448,*,Colorado,Louisiana
ColoradotoMaine,0.847502903,0.208691577,4.061030703,4.89E-05,*,Colorado,Maine
ColoradotoMaryland,0.648663893,0.170631296,3.801552877,0.000143827,*,Colorado,Maryland
ColoradotoMassachusetts,0.556485297,0.162535726,3.423772182,0.000617685,*,Colorado,Massachusetts
ColoradotoMichigan,0.164670514,0.097639704,1.686511809,0.091698542,,Colorado,Michigan
ColoradotoMinnesota,-0.010471409,0.099094041,-0.10567143,0.915843136,,Colorado,Minnesota
ColoradotoMississippi,0.594440465,0.218990505,2.714457712,0.006638904,*,Colorado,Mississippi
ColoradotoMissouri,0.352261656,0.097441211,3.615119855,0.000300269,*,Colorado,Missouri
ColoradotoMontana,0.289515789,0.103707612,2.791654173,0.005244345,*,Colorado,Montana
ColoradotoNebraska,-0.032235648,0.085894532,-0.375293368,0.707442624,,Colorado,Nebraska
ColoradotoNevada,0.480657849,0.180004644,2.670252488,0.007579926,*,Colorado,Nevada
ColoradotoNew Hampshire,0.771753488,0.245912986,3.138319373,0.001699399,*,Colorado,New Hampshire
ColoradotoNew Jersey,0.519803439,0.159553341,3.257866208,0.001122687,*,Colorado,New Jersey
ColoradotoNew Mexico,-0.40282968,0.100586428,-4.004811454,6.21E-05,*,Colorado,New Mexico
ColoradotoNew York,0.496926463,0.106993138,4.644470427,3.41E-06,*,Colorado,New York
ColoradotoNorth Carolina,0.84762572,0.109071871,7.771258607,7.80E-15,*,Colorado,North Carolina
ColoradotoNorth Dakota,0.022617344,0.172199368,0.131343946,0.895503338,,Colorado,North Dakota
ColoradotoOhio,0.671079387,0.123692323,5.425392367,5.79E-08,*,Colorado,Ohio
ColoradotoOklahoma,0.216120617,0.100010904,2.160970548,0.030698585,*,Colorado,Oklahoma
ColoradotoOregon,0.578336115,0.120425838,4.802425498,1.57E-06,*,Colorado,Oregon
ColoradotoPennsylvania,0.54515986,0.119997667,4.543087169,5.55E-06,*,Colorado,Pennsylvania
ColoradotoRhode Island,1.092890161,0.340059787,3.213817692,0.001309998,*,Colorado,Rhode Island
ColoradotoSouth Carolina,0.684733687,0.174222353,3.930228664,8.49E-05,*,Colorado,South Carolina
ColoradotoSouth Dakota,-0.010833093,0.163709864,-0.066172511,0.947240536,,Colorado,South Dakota
ColoradotoTennessee,0.515609641,0.128547817,4.011033814,6.05E-05,*,Colorado,Tennessee
ColoradotoTexas,0.506929474,0.065990878,7.681811374,1.57E-14,*,Colorado,Texas
ColoradotoUtah,-0.097292793,0.109084695,-0.891901403,0.372446663,,Colorado,Utah
ColoradotoVermont,0.672897196,0.172452375,3.901930586,9.55E-05,*,Colorado,Vermont
ColoradotoVirginia,1.103649872,0.112878803,9.777299545,1.42E-22,*,Colorado,Virginia
ColoradotoWashington,0.642152293,0.099565219,6.449564429,1.12E-10,*,Colorado,Washington
ColoradotoWest Virginia,0.934402045,0.257245308,3.632338538,0.000280922,*,Colorado,West Virginia
ColoradotoWisconsin,0.125448016,0.102364943,1.225497833,0.22038889,,Colorado,Wisconsin
ColoradotoWyoming,-0.369406993,0.101300219,-3.646655417,0.000265731,*,Colorado,Wyoming
ConnecticuttoAlabama,0.290300983,0.26351765,1.101637717,0.270620292,,Connecticut,Alabama
ConnecticuttoArizona,0.810616426,0.257372919,3.149579327,0.001635255,*,Connecticut,Arizona
ConnecticuttoArkansas,0.969313383,0.526387653,1.841443996,0.065557735,,Connecticut,Arkansas
ConnecticuttoCalifornia,0.681052174,0.135374085,5.030890313,4.89E-07,*,Connecticut,California
ConnecticuttoColorado,1.140035152,0.205524267,5.546961295,2.91E-08,*,Connecticut,Colorado
ConnecticuttoConnecticut,1.234227516,0.157876736,7.817665532,5.40E-15,*,Connecticut,Connecticut
ConnecticuttoDelaware,-1.019189913,0.314713379,-3.238470241,0.001201886,*,Connecticut,Delaware
ConnecticuttoDistrict of Columbia,0.466055458,0.416182702,1.119833805,0.262785694,,Connecticut,District of Columbia
ConnecticuttoFlorida,0.809573364,0.092065011,8.793496626,1.46E-18,*,Connecticut,Florida
ConnecticuttoGeorgia,0.35293779,0.156537287,2.25465636,0.024155791,*,Connecticut,Georgia
ConnecticuttoIdaho,0.165497783,0.304300122,0.543863674,0.586535785,,Connecticut,Idaho
ConnecticuttoIllinois,0.237362926,0.251313127,0.94449076,0.344919858,,Connecticut,Illinois
ConnecticuttoIndiana,0.285435247,0.218975797,1.30350135,0.192404887,,Connecticut,Indiana
ConnecticuttoIowa,-0.423662446,0.30419826,-1.392718176,0.1637063,,Connecticut,Iowa
ConnecticuttoKansas,-0.346560515,0.28581588,-1.212530651,0.225310492,,Connecticut,Kansas
ConnecticuttoKentucky,0.376005734,0.30412893,1.23633662,0.216334656,,Connecticut,Kentucky
ConnecticuttoLouisiana,0.338650776,0.355090382,0.953703037,0.340234928,,Connecticut,Louisiana
ConnecticuttoMaine,-0.775267452,0.145379688,-5.332708195,9.68E-08,*,Connecticut,Maine
ConnecticuttoMaryland,-0.628378706,0.196547464,-3.197083768,0.001388423,*,Connecticut,Maryland
ConnecticuttoMassachusetts,-0.497836713,0.124737962,-3.991060177,6.58E-05,*,Connecticut,Massachusetts
ConnecticuttoMichigan,-0.278724869,0.196631923,-1.417495515,0.156339383,,Connecticut,Michigan
ConnecticuttoMinnesota,-0.206585384,0.257228773,-0.803119268,0.421906585,,Connecticut,Minnesota
ConnecticuttoMississippi,0.898449676,0.588466587,1.526764128,0.126820972,,Connecticut,Mississippi
ConnecticuttoMissouri,-0.102413312,0.27036991,-0.378789608,0.704844435,,Connecticut,Missouri
ConnecticuttoMontana,1.159567875,0.480633253,2.412583537,0.015840641,*,Connecticut,Montana
ConnecticuttoNebraska,0.898019656,0.416275712,2.157271321,0.030985504,*,Connecticut,Nebraska
ConnecticuttoNevada,0.713186394,0.392599736,1.816573801,0.069283626,,Connecticut,Nevada
ConnecticuttoNew Hampshire,-0.771345788,0.163653914,-4.713274309,2.44E-06,*,Connecticut,New Hampshire
ConnecticuttoNew Jersey,-1.056796576,0.157795751,-6.697243562,2.13E-11,*,Connecticut,New Jersey
ConnecticuttoNew Mexico,-0.086749964,0.355146417,-0.244265351,0.807025522,,Connecticut,New Mexico
ConnecticuttoNew York,-0.910386999,0.090911657,-10.01397433,1.34E-23,*,Connecticut,New York
ConnecticuttoNorth Carolina,0.228145426,0.121513918,1.877525063,0.060447359,,Connecticut,North Carolina
ConnecticuttoNorth Dakota,0.442224376,1.176632354,0.375839041,0.707036888,,Connecticut,North Dakota
ConnecticuttoOhio,-0.232667411,0.145521921,-1.598847849,0.10985571,,Connecticut,Ohio
ConnecticuttoOklahoma,-0.291230444,0.29457775,-0.988636938,0.322841788,,Connecticut,Oklahoma
ConnecticuttoOregon,0.53821766,0.294709064,1.826267751,0.067811163,,Connecticut,Oregon
ConnecticuttoPennsylvania,-0.896876058,0.109556716,-8.186408766,2.70E-16,*,Connecticut,Pennsylvania
ConnecticuttoRhode Island,-0.51588334,0.205237439,-2.513592757,0.011951474,*,Connecticut,Rhode Island
ConnecticuttoSouth Carolina,0.363073477,0.140367175,2.586598169,0.009693429,*,Connecticut,South Carolina
ConnecticuttoSouth Dakota,-1.688806988,0.679467161,-2.485487284,0.012938086,*,Connecticut,South Dakota
ConnecticuttoTennessee,0.306781828,0.188980425,1.623352407,0.104515386,,Connecticut,Tennessee
ConnecticuttoTexas,0.458793341,0.162485201,2.823600787,0.004749134,*,Connecticut,Texas
ConnecticuttoUtah,1.091806937,0.285891409,3.818956795,0.00013405,*,Connecticut,Utah
